SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,10707 SW 113th Pl Unit 100D,Miami,FL,33176,320000,3,2.0,GREENGLADES CONDO 19,1220,,1978,78,262,650,Contingent,,,https://www.redfin.com/FL/Miami/10707-SW-113th-Pl-33176/unit-100D/home/43146398,MARMLS,A11132784,N,Y,25.668537,-80.376962
MLS Listing,,Single Family Residential,13630 SW 97th Ave,Miami,FL,33176,2975000,7,6.5,The Falls,6958,39204,2007,81,428,,Contingent,,,https://www.redfin.com/FL/Miami/13630-SW-97th-Ave-33176/home/43160889,MARMLS,A11131577,N,Y,25.6425362,-80.3506826
PAST SALE,April-24-2019,Townhouse,10907 SW 88th St #422,Miami,FL,33176,225000,2,3.0,CASTLE APTS CONDO,1150,,1970,81,196,,Pending,,,https://www.redfin.com/FL/Miami/10907-SW-88th-St-33176/unit-422/home/43425184,MARMLS,A11132290,N,Y,25.687555,-80.370662
MLS Listing,,Condo/Co-op,8650 SW 109th Ave Unit 3-223,Miami,FL,33173,295000,2,2.0,COURTYARDS AT KENDALL CON,1140,,1965,81,259,387,Active,,,https://www.redfin.com/FL/Miami/8650-SW-109th-Ave-33173/unit-3-223/home/43356087,MARMLS,A11131829,N,Y,25.6881801,-80.3706932
PAST SALE,August-1-1987,Condo/Co-op,10800 SW 88th St Unit O12,Miami,FL,33176,240000,2,2.0,SPANISH TRACE CONDO PH II,955,,1968,82,251,300,Pending,,,https://www.redfin.com/FL/Miami/10800-SW-88th-St-33176/unit-O12/home/43150028,MARMLS,A11131010,N,Y,25.6852539,-80.3675678
PAST SALE,October-28-1987,Single Family Residential,14805 SW 97th Ct,Miami,FL,33176,699900,4,3.0,SHADY LANE,2593,18940,1979,83,270,,Pending,,,https://www.redfin.com/FL/Miami/14805-SW-97th-Ct-33176/home/43424051,MARMLS,A11129999,N,Y,25.6321029,-80.3507696
PAST SALE,August-18-2006,Condo/Co-op,9970 SW 88th St Unit 919-9,Miami,FL,33176,179000,1,1.0,PUERTA DEL SOL CONDO,755,,1968,83,237,276,Pending,,,https://www.redfin.com/FL/Miami/9970-N-Kendall-Dr-33176/unit-919-9/home/43327871,MARMLS,A11131002,N,Y,25.6852959,-80.3570544
PAST SALE,,Single Family Residential,11500 SW 131st St,Miami,FL,33176,650000,3,3.0,PINE SHORE SEC 3,2317,15625,1977,84,281,,Pending,,,https://www.redfin.com/FL/Miami/11500-SW-131-St-33176/home/43159646,MARMLS,A11130682,N,Y,25.6464816,-80.3812186
MLS Listing,,Townhouse,6865 SW 113th Pl,Miami,FL,33173,360000,3,2.0,Snapper Creek Townhouses Sec 2,1378,2099,1972,88,261,145,Contingent,,,https://www.redfin.com/FL/Miami/6865-SW-113th-Pl-33173/home/43090342,Beaches MLS,RX-10761256,N,Y,25.703907,-80.376209
MLS Listing,,Single Family Residential,9402 SW 83rd Ave,Miami,FL,33156,2500000,6,5.5,BAPTIST MANORS,4069,14223,2014,90,614,,Contingent,,,https://www.redfin.com/FL/Miami/9402-SW-83rd-Ave-33156/home/45426316,MARMLS,A11128529,N,Y,25.682544,-80.3296011
PAST SALE,,Condo/Co-op,6646 SW 115th Ct #113,Miami,FL,33173,265000,2,2.0,THE VILLAS AT SNAPPER VILL,1042,,2005,91,254,301,Pending,,,https://www.redfin.com/FL/Miami/6646-SW-115th-Ct-33173/unit-113/home/43348142,MARMLS,A11128335,N,Y,25.7052267,-80.3795876
PAST SALE,,Condo/Co-op,7290 SW 90th St Unit F202,Miami,FL,33156,248000,1,1.0,Downtown Dadeland,768,,2008,92,323,520,Pending,,,https://www.redfin.com/FL/Miami/7290-SW-90th-St-33156/unit-F202/home/177299285,Beaches MLS,F10309144,N,Y,25.6872324,-80.3159282
PAST SALE,January-10-2022,Townhouse,10211 SW 77th Ct,Miami,FL,33156,300000,2,1.5,DADELAND COVE SEC 2,970,,1989,96,309,,Pending,,,https://www.redfin.com/FL/Miami/10211-SW-77th-Ct-33156/home/43147483,MARMLS,A11125843,N,Y,25.675578,-80.320418
PAST SALE,May-16-2011,Condo/Co-op,13020 SW 92nd Ave Unit A203,Miami,FL,33176,270000,2,2.0,BRIARWINDS CONDO PH II,1120,,1980,96,241,342,Pending,,,https://www.redfin.com/FL/Miami/13020-SW-92nd-Ave-33176/unit-A203/home/43151259,MARMLS,A11125888,N,Y,25.648513,-80.344691
PAST SALE,December-22-2016,Condo/Co-op,6704 SW 114th Pl Unit B,Miami,FL,33173,295000,2,2.0,SNAPPER VILLAGE PHASE II,1330,,1978,97,222,523,Pending,,,https://www.redfin.com/FL/Miami/6704-SW-114th-Pl-33173/unit-B/home/43087789,MARMLS,A11126597,N,Y,25.705062,-80.37838
PAST SALE,April-1-1984,Single Family Residential,,Miami,FL,33176,550000,3,2.0,,1554,17875,1959,97,354,,Pending,,,https://www.redfin.com/FL/Miami/Undisclosed-address-33176/home/43161703,MARMLS,A11126145,N,Y,25.6356679,-80.3524011
MLS Listing,,Condo/Co-op,10400 SW 108th Ave Unit A410,Miami,FL,33176,225000,2,1.5,THE TERRACES CONDO PH II,930,,1971,98,242,308,Contingent,,,https://www.redfin.com/FL/Miami/10400-SW-108th-Ave-33176/unit-A410/home/43154746,MARMLS,A11124900,N,Y,25.671407,-80.3704322
MLS Listing,,Condo/Co-op,8600 SW 109th Ave Unit 4-203,Miami,FL,33173,229999,2,2.0,COURTYARDS AT KENDALL CON,901,,1969,98,255,,Contingent,,,https://www.redfin.com/FL/Miami/8600-SW-109th-Ave-33173/unit-4-203/home/43338538,MARMLS,A11125443,N,Y,25.6885463,-80.3706932
MLS Listing,,Townhouse,7351 SW 90th St Unit TH101S,Miami,FL,33156,649900,4,3.0,TOSCANO CONDO,2509,,2007,99,259,1262,Active,,,https://www.redfin.com/FL/Miami/7351-SW-90th-St-33156/unit-TH101S/home/43382296,MARMLS,A11125502,N,Y,25.6879265,-80.3145399
MLS Listing,,Single Family Residential,14064 SW 104th Ct,Miami,FL,33176,815000,4,3.0,MARY ANN ESTATES 1ST ADDN,3605,27677,1981,99,226,,Active,,,https://www.redfin.com/FL/Miami/14064-SW-104th-Ct-33176/home/43164935,MARMLS,A11125344,N,Y,25.6380229,-80.3637553
MLS Listing,,Single Family Residential,7840 SW 94th St,Miami,FL,33156,950000,3,3.0,KENDAL RANCHES,2333,16956,1971,99,407,,Contingent,,,https://www.redfin.com/FL/Miami/7840-SW-94th-St-33156/home/43145903,MARMLS,A11122728,N,Y,25.682741,-80.3222464
